7367768.666313	1654346.596003	TGB11
7367809.087202	1654310.944307	TGB11
7367842.979534	1654265.794685	TGB11
7367864.277999	1654226.481115	TGB11
7367896.907730	1654199.206027	TGB11
7367830.433369	1654389.304752	TGB11
7367854.178559	1654351.177437	TGB11
7367882.768983	1654297.745226	TGB11
7367903.200212	1654263.494278	TGB11
7367930.120234	1654225.416447	TGB11
7367861.733880	1654419.434971	TGB30
7367882.266870	1654380.580219	TGB30
7367910.987998	1654333.976583	TGB30
7367939.097789	1654293.689710	TGB30
7367961.159198	1654257.965022	TGB30
7367898.247247	1654452.310755	TGB40
7367919.051423	1654410.385935	TGB40
7367946.933779	1654366.546099	TGB30
7367974.201165	1654327.055359	TGB30
7367996.045854	1654282.921183	TGB30
7367931.665977	1654484.570837	TGB40
7367952.245964	1654435.746847	TGB40
7367985.083154	1654398.693514	TGB40
7368014.765609	1654364.283783	TGB40
7368041.755942	1654339.905777	TGB40
