7368007.278415	1654529.524555	TGB11
7368031.448656	1654491.544257	TGB11
7368060.671608	1654459.613526	TGB11
7368098.196542	1654421.356421	TGB11
7368125.707887	1654386.863642	TGB11
7368157.739212	1654346.841165	TGB11
7368048.798281	1654582.258396	TGB30
7368082.205528	1654541.324930	TGB30
7368136.000000	1654463.000000	TGB11
7368169.959371	1654434.190255	TGB11
7368198.860775	1654394.307927	TGB11
7368078.793069	1654617.559049	TGB30
7368116.977247	1654569.463982	TGB30
7368151.051106	1654542.038578	TGB30
7368181.783385	1654507.736642	TGB30
7368212.747902	1654470.717320	TGB30
7368251.232981	1654455.517990	TGB30
7368202.064019	1654581.989108	TGB40
7368236.590366	1654548.911230	TGB11
7368276.275680	1654529.987823	TGB40
7368306.730345	1654496.422542	TGB40
7368326.035875	1654460.388019	TGB40
7368213.928359	1654619.893372	TGB40
7368247.483107	1654636.763462	TGB40
7368271.543545	1654583.356526	TGB40
