7369887.662121	1653648.290441	TGB11
7369888.703777	1653695.721702	TGB11
7369889.103954	1653736.417578	TGB11
7369886.540502	1653784.124931	TGB11
7369883.064908	1653832.335085	TGB11
7369840.954854	1653652.381898	TGB11
7369843.899398	1653691.883503	TGB11
7369851.109506	1653737.366586	TGB11
7369846.974640	1653778.285902	TGB11
7369844.835127	1653831.020288	TGB11
7369805.758978	1653654.895749	TGB30
7369810.075438	1653689.120216	TGB30
7369805.882030	1653727.427189	TGB30
7369812.368458	1653782.175899	TGB30
7369801.131624	1653820.747110	TGB30
7369770.642418	1653653.977395	TGB40
7369775.771144	1653695.289457	TGB40
7369770.090766	1653739.560309	TGB30
7369769.947894	1653783.490978	TGB30
7369761.382331	1653833.118310	TGB30
7369737.356922	1653647.719987	TGB40
7369725.479880	1653689.166112	TGB40
7369730.780005	1653734.922441	TGB40
7369725.522478	1653785.949120	TGB40
7369731.537679	1653832.671790	TGB40
