7370079.126864	1653646.452875	TGB11
7370094.095028	1653683.065229	TGB11
7370079.839073	1653741.511131	TGB11
7370083.285707	1653793.407342	TGB11
7370082.295116	1653838.455800	TGB11
7370045.882086	1653651.778791	TGB11
7370048.939585	1653690.974789	TGB11
7370055.564097	1653747.143015	TGB11
7370043.150733	1653785.776534	TGB11
7370033.943220	1653828.774222	TGB11
7370006.955543	1653651.298750	TGB30
7370007.139766	1653702.775360	TGB30
7369999.931417	1653726.651989	TGB30
7370002.571557	1653790.221359	TGB30
7369998.125143	1653826.989494	TGB30
7369968.052902	1653657.140797	TGB40
7369973.460678	1653708.125038	TGB40
7369969.871625	1653744.800425	TGB30
7369962.176280	1653789.790413	TGB30
7369952.340100	1653837.944824	TGB30
7369917.514753	1653662.548277	TGB40
7369926.744834	1653702.785031	TGB40
7369931.532036	1653733.251280	TGB40
7369920.819906	1653775.477661	TGB40
7369918.834842	1653831.217949	TGB40
